Time,Voltage,Current_L,Current_R,Current_C,Power_R,Power_Total
      0.01600000,      2.85352488,      0.36844864,      0.02853525,      0.33991339,      0.08142604,      8.84276734,
      0.01620000,      2.92186182,      0.37267111,      0.02921862,      0.34345249,      0.08537276,      8.94410670,
      0.01640000,      2.99090449,      0.37687985,      0.02990904,      0.34697080,      0.08945510,      9.04511634,
      0.01660000,      3.06064874,      0.38107470,      0.03060649,      0.35046822,      0.09367571,      9.14579289,
      0.01680000,      3.13109038,      0.38525554,      0.03131090,      0.35394464,      0.09803727,      9.24613299,
      0.01700000,      3.20222519,      0.38942222,      0.03202225,      0.35739997,      0.10254246,      9.34613331,
      0.01720000,      3.27404895,      0.39357461,      0.03274049,      0.36083412,      0.10719397,      9.44579053,
      0.01740000,      3.34655742,      0.39771256,      0.03346557,      0.36424698,      0.11199447,      9.54510135,
      0.01760000,      3.41974632,      0.40183594,      0.03419746,      0.36763847,      0.11694665,      9.64406249,
      0.01780000,      3.49361138,      0.40594461,      0.03493611,      0.37100850,      0.12205320,      9.74267070,
      0.01800000,      3.56814829,      0.41003845,      0.03568148,      0.37435696,      0.12731682,      9.84092275,
      0.01820000,      3.64335273,      0.41411731,      0.03643353,      0.37768378,      0.13274019,      9.93881541,
      0.01840000,      3.71922035,      0.41818106,      0.03719220,      0.38098886,      0.13832600,     10.03634550,
      0.01860000,      3.79574681,      0.42222958,      0.03795747,      0.38427211,      0.14407694,     10.13350984,
      0.01880000,      3.87292773,      0.42626272,      0.03872928,      0.38753344,      0.14999569,     10.23030528,
      0.01900000,      3.95075872,      0.43028036,      0.03950759,      0.39077277,      0.15608494,     10.32672869,
      0.01920000,      4.02923537,      0.43428237,      0.04029235,      0.39399002,      0.16234738,     10.42277696,
      0.01940000,      4.10835325,      0.43826863,      0.04108353,      0.39718509,      0.16878566,     10.51844701,
      0.01960000,      4.18810792,      0.44223899,      0.04188108,      0.40035791,      0.17540248,     10.61373575,
      0.01980000,      4.26849493,      0.44619334,      0.04268495,      0.40350839,      0.18220049,     10.70864016,
      0.02000000,      4.34950979,      0.45013155,      0.04349510,      0.40663645,      0.18918235,     10.80315720,
      0.02020000,      4.43114801,      0.45405349,      0.04431148,      0.40974201,      0.19635073,     10.89728387,
      0.02040000,      4.51340509,      0.45795905,      0.04513405,      0.41282500,      0.20370825,     10.99101719,
      0.02060000,      4.59627650,      0.46184809,      0.04596276,      0.41588533,      0.21125758,     11.08435420,
      0.02080000,      4.67975770,      0.46572050,      0.04679758,      0.41892292,      0.21900132,     11.17729196,
      0.02100000,      4.76384414,      0.46957615,      0.04763844,      0.42193771,      0.22694211,     11.26982755,
      0.02120000,      4.84853125,      0.47341492,      0.04848531,      0.42492961,      0.23508255,     11.36195809,
      0.02140000,      4.93381445,      0.47723670,      0.04933814,      0.42789855,      0.24342525,     11.45368070,
