Time,Voltage,Current_L,Current_R,Current_C,Power_R,Power_Source,Power_L,Power_C,Energy_L,Energy_C
  1.50000007E-02,  2.52257109E+00,  3.47135202E-01,  2.52257109E-02,  3.21909491E-01,  6.36336491E-02,  8.33124485E+00,  8.75673225E-01,  8.12039576E-01,  6.02514242E-02,  3.18168245E-03,
  1.60000008E-02,  2.85352514E+00,  3.68448655E-01,  2.85352514E-02,  3.39913404E-01,  8.14260571E-02,  8.84276772E+00,  1.05137750E+00,  9.69951442E-01,  6.78772058E-02,  4.07130285E-03,
  1.70000008E-02,  3.20222548E+00,  3.89422238E-01,  3.20222548E-02,  3.57399983E-01,  1.02542480E-01,  9.34613372E+00,  1.24701781E+00,  1.14447533E+00,  7.58248398E-02,  5.12712401E-03,
  1.80000009E-02,  3.56814860E+00,  4.10038465E-01,  3.56814860E-02,  3.74356979E-01,  1.27316844E-01,  9.84092316E+00,  1.46307818E+00,  1.33576133E+00,  8.40657715E-02,  6.36584222E-03,
  1.90000009E-02,  3.95075907E+00,  4.30280380E-01,  3.95075907E-02,  3.90772790E-01,  1.56084972E-01,  1.03267291E+01,  1.69993412E+00,  1.54384914E+00,  9.25706028E-02,  7.80424861E-03,
  2.00000009E-02,  4.34951017E+00,  4.50131569E-01,  4.34951017E-02,  4.06636467E-01,  1.89182387E-01,  1.08031576E+01,  1.95785183E+00,  1.76866945E+00,  1.01309215E-01,  9.45911935E-03,
  2.10000010E-02,  4.76384456E+00,  4.69576167E-01,  4.76384456E-02,  4.21937722E-01,  2.26942150E-01,  1.12698280E+01,  2.23698787E+00,  2.01004572E+00,  1.10250888E-01,  1.13471075E-02,
  2.20000010E-02,  5.19319496E+00,  4.88598876E-01,  5.19319496E-02,  4.36666926E-01,  2.69692739E-01,  1.17263730E+01,  2.53738922E+00,  2.26769648E+00,  1.19364431E-01,  1.34846369E-02,
  2.30000011E-02,  5.63698478E+00,  5.07184966E-01,  5.63698478E-02,  4.50815118E-01,  3.17755974E-01,  1.21724392E+01,  2.85899393E+00,  2.54123796E+00,  1.28618295E-01,  1.58877987E-02,
  2.40000011E-02,  6.09462880E+00,  5.25320290E-01,  6.09462880E-02,  4.64374002E-01,  3.71445002E-01,  1.26076870E+01,  3.20163217E+00,  2.83018716E+00,  1.37980704E-01,  1.85722501E-02,
  2.50000012E-02,  6.56553384E+00,  5.42991290E-01,  6.56553384E-02,  4.77335951E-01,  4.31062346E-01,  1.30317910E+01,  3.56502769E+00,  3.13396534E+00,  1.47419770E-01,  2.15531173E-02,
  2.60000012E-02,  7.04909944E+00,  5.60185004E-01,  7.04909944E-02,  4.89694009E-01,  4.96898029E-01,  1.34444401E+01,  3.94879979E+00,  3.45190177E+00,  1.56903619E-01,  2.48449014E-02,
  2.70000013E-02,  7.54471850E+00,  5.76889074E-01,  7.54471850E-02,  5.01441889E-01,  5.69227773E-01,  1.38453378E+01,  4.35246568E+00,  3.78323790E+00,  1.66400502E-01,  2.84613887E-02,
  2.80000013E-02,  8.05177799E+00,  5.93091755E-01,  8.05177799E-02,  5.12573975E-01,  6.48311288E-01,  1.42342021E+01,  4.77544314E+00,  4.12713185E+00,  1.75878915E-01,  3.24155644E-02,
  2.90000014E-02,  8.56965958E+00,  6.08781913E-01,  8.56965958E-02,  5.23085317E-01,  7.34390653E-01,  1.46107659E+01,  5.21705375E+00,  4.48266310E+00,  1.85307709E-01,  3.67195327E-02,
  3.00000014E-02,  9.09774033E+00,  6.23949037E-01,  9.09774033E-02,  5.32971634E-01,  8.27688791E-01,  1.49747769E+01,  5.67652632E+00,  4.84883753E+00,  1.94656201E-01,  4.13844395E-02,
  3.10000015E-02,  9.63539334E+00,  6.38583243E-01,  9.63539334E-02,  5.42229309E-01,  9.28408049E-01,  1.53259978E+01,  6.15300073E+00,  5.22459268E+00,  2.03894279E-01,  4.64204024E-02,
  3.20000015E-02,  1.01819885E+01,  6.52675271E-01,  1.01819885E-01,  5.50855387E-01,  1.03672889E+00,  1.56642065E+01,  6.64553208E+00,  5.60880319E+00,  2.12992505E-01,  5.18364445E-02,
  3.30000016E-02,  1.07368929E+01,  6.66216497E-01,  1.07368929E-01,  5.58847569E-01,  1.15280868E+00,  1.59891959E+01,  7.15309515E+00,  6.00028647E+00,  2.21922211E-01,  5.76404342E-02,
  3.40000016E-02,  1.12994718E+01,  6.79198929E-01,  1.12994718E-01,  5.66204211E-01,  1.27678063E+00,  1.63007743E+01,  7.67458913E+00,  6.39780851E+00,  2.30655592E-01,  6.38390314E-02,
  3.50000017E-02,  1.18690892E+01,  6.91615209E-01,  1.18690892E-01,  5.72924317E-01,  1.40875277E+00,  1.65987650E+01,  8.20884257E+00,  6.80008980E+00,  2.39165798E-01,  7.04376387E-02,
  3.60000017E-02,  1.24451082E+01,  7.03458617E-01,  1.24451082E-01,  5.79007536E-01,  1.54880718E+00,  1.68830068E+01,  8.75461859E+00,  7.20581142E+00,  2.47427013E-01,  7.74403588E-02,
  3.70000018E-02,  1.30268921E+01,  7.14723072E-01,  1.30268921E-01,  5.84454151E-01,  1.69699917E+00,  1.71533537E+01,  9.31062032E+00,  7.61362115E+00,  2.55414535E-01,  8.48499585E-02,
  3.80000018E-02,  1.36138046E+01,  7.25403125E-01,  1.36138046E-01,  5.89265078E-01,  1.85335677E+00,  1.74096750E+01,  9.87549642E+00,  8.02213966E+00,  2.63104847E-01,  9.26678383E-02,
  3.90000019E-02,  1.42052109E+01,  7.35493966E-01,  1.42052109E-01,  5.93441857E-01,  2.01788017E+00,  1.76518552E+01,  1.04478469E+01,  8.42996673E+00,  2.70475687E-01,  1.00894008E-01,
  4.00000019E-02,  1.48004777E+01,  7.44991417E-01,  1.48004777E-01,  5.96986640E-01,  2.19054141E+00,  1.78797940E+01,  1.10262289E+01,  8.83568747E+00,  2.77506106E-01,  1.09527071E-01,
  4.10000019E-02,  1.53989745E+01,  7.53891934E-01,  1.53989745E-01,  5.99902190E-01,  2.37128415E+00,  1.80934064E+01,  1.16091627E+01,  9.23787851E+00,  2.84176524E-01,  1.18564208E-01,
  4.20000020E-02,  1.60000735E+01,  7.62192602E-01,  1.60000735E-01,  6.02191866E-01,  2.56002353E+00,  1.82926224E+01,  1.21951377E+01,  9.63511414E+00,  2.90468781E-01,  1.28001177E-01,
  4.30000020E-02,  1.66031510E+01,  7.69891129E-01,  1.66031510E-01,  6.03859619E-01,  2.75664622E+00,  1.84773871E+01,  1.27826186E+01,  1.00259724E+01,  2.96366175E-01,  1.37832311E-01,
  4.40000021E-02,  1.72075870E+01,  7.76985847E-01,  1.72075870E-01,  6.04909977E-01,  2.96101051E+00,  1.86476603E+01,  1.33700516E+01,  1.04090411E+01,  3.01853504E-01,  1.48050526E-01,
  4.50000021E-02,  1.78127669E+01,  7.83475707E-01,  1.78127669E-01,  6.05348039E-01,  3.17294663E+00,  1.88034170E+01,  1.39558701E+01,  1.07829235E+01,  3.06917092E-01,  1.58647332E-01,
  4.60000022E-02,  1.84180809E+01,  7.89360270E-01,  1.84180809E-01,  6.05179460E-01,  3.39225706E+00,  1.89446465E+01,  1.45385013E+01,  1.11462443E+01,  3.11544818E-01,  1.69612853E-01,
  4.70000022E-02,  1.90229257E+01,  7.94639702E-01,  1.90229257E-01,  6.04410446E-01,  3.61871702E+00,  1.90713529E+01,  1.51163720E+01,  1.14976550E+01,  3.15726128E-01,  1.80935851E-01,
  4.80000023E-02,  1.96267040E+01,  7.99314774E-01,  1.96267040E-01,  6.03047734E-01,  3.85207509E+00,  1.91835546E+01,  1.56879145E+01,  1.18358394E+01,  3.19452054E-01,  1.92603755E-01,
  4.90000023E-02,  2.02288257E+01,  8.03386847E-01,  2.02288257E-01,  6.01098590E-01,  4.09205390E+00,  1.92812843E+01,  1.62515725E+01,  1.21595186E+01,  3.22715213E-01,  2.04602695E-01,
  5.00000024E-02,  2.08287083E+01,  8.06857870E-01,  2.08287083E-01,  5.98570786E-01,  4.33835091E+00,  1.93645889E+01,  1.68058072E+01,  1.24674563E+01,  3.25509811E-01,  2.16917545E-01,
  5.10000024E-02,  2.14257772E+01,  8.09730369E-01,  2.14257772E-01,  5.95472596E-01,  4.59063929E+00,  1.94335288E+01,  1.73491025E+01,  1.27584632E+01,  3.27831635E-01,  2.29531965E-01,
  5.20000025E-02,  2.20194664E+01,  8.12007442E-01,  2.20194664E-01,  5.91812778E-01,  4.84856899E+00,  1.94881786E+01,  1.78799706E+01,  1.30314016E+01,  3.29678043E-01,  2.42428449E-01,
  5.30000025E-02,  2.26092187E+01,  8.13692749E-01,  2.26092187E-01,  5.87600562E-01,  5.11176770E+00,  1.95286260E+01,  1.83969573E+01,  1.32851896E+01,  3.31047944E-01,  2.55588385E-01,
  5.40000026E-02,  2.31944866E+01,  8.14790500E-01,  2.31944866E-01,  5.82845633E-01,  5.37984210E+00,  1.95549720E+01,  1.88986474E+01,  1.35188053E+01,  3.31941779E-01,  2.68992105E-01,
  5.50000026E-02,  2.37747325E+01,  8.15305449E-01,  2.37747325E-01,  5.77558125E-01,  5.65237905E+00,  1.95673308E+01,  1.93836690E+01,  1.37312899E+01,  3.32361488E-01,  2.82618952E-01,
  5.60000027E-02,  2.43494289E+01,  8.15242885E-01,  2.43494289E-01,  5.71748595E-01,  5.92894689E+00,  1.95658292E+01,  1.98506987E+01,  1.39217518E+01,  3.32310480E-01,  2.96447344E-01,
  5.70000027E-02,  2.49180594E+01,  8.14608614E-01,  2.49180594E-01,  5.65428020E-01,  6.20909683E+00,  1.95506067E+01,  2.02984658E+01,  1.40893690E+01,  3.31793597E-01,  3.10454842E-01,
  5.80000028E-02,  2.54801185E+01,  8.13408956E-01,  2.54801185E-01,  5.58607772E-01,  6.49236436E+00,  1.95218150E+01,  2.07257566E+01,  1.42333922E+01,  3.30817065E-01,  3.24618218E-01,
  5.90000028E-02,  2.60351123E+01,  8.11650732E-01,  2.60351123E-01,  5.51299609E-01,  6.77827074E+00,  1.94796176E+01,  2.11314180E+01,  1.43531472E+01,  3.29388455E-01,  3.38913537E-01,
  6.00000028E-02,  2.65825591E+01,  8.09341247E-01,  2.65825591E-01,  5.43515656E-01,  7.06632450E+00,  1.94241899E+01,  2.15143616E+01,  1.44480371E+01,  3.27516627E-01,  3.53316225E-01,
  6.10000029E-02,  2.71219893E+01,  8.06488286E-01,  2.71219893E-01,  5.35268393E-01,  7.35602301E+00,  1.93557189E+01,  2.18735666E+01,  1.45175436E+01,  3.25211678E-01,  3.67801151E-01,
  6.20000029E-02,  2.76529458E+01,  8.03100093E-01,  2.76529458E-01,  5.26570635E-01,  7.64685411E+00,  1.92744022E+01,  2.22080833E+01,  1.45612292E+01,  3.22484880E-01,  3.82342706E-01,
  6.30000030E-02,  2.81749848E+01,  7.99185366E-01,  2.81749848E-01,  5.17435519E-01,  7.93829768E+00,  1.91804488E+01,  2.25170355E+01,  1.45787379E+01,  3.19348625E-01,  3.96914884E-01,
  6.40000030E-02,  2.86876756E+01,  7.94753239E-01,  2.86876756E-01,  5.07876484E-01,  8.22982730E+00,  1.90740777E+01,  2.27996231E+01,  1.45697958E+01,  3.15816356E-01,  4.11491365E-01,
  6.50000031E-02,  2.91906011E+01,  7.89813270E-01,  2.91906011E-01,  4.97907259E-01,  8.52091191E+00,  1.89555185E+01,  2.30551241E+01,  1.45342122E+01,  3.11902501E-01,  4.26045595E-01,
  6.60000031E-02,  2.96833581E+01,  7.84375426E-01,  2.96833581E-01,  4.87541846E-01,  8.81101746E+00,  1.88250102E+01,  2.32828966E+01,  1.44718792E+01,  3.07622405E-01,  4.40550873E-01,
  6.70000032E-02,  3.01655575E+01,  7.78450073E-01,  3.01655575E-01,  4.76794498E-01,  9.09960859E+00,  1.86828017E+01,  2.34823804E+01,  1.43827718E+01,  3.02992258E-01,  4.54980429E-01,
  6.80000032E-02,  3.06368246E+01,  7.72047955E-01,  3.06368246E-01,  4.65679709E-01,  9.38615023E+00,  1.85291509E+01,  2.36530978E+01,  1.42669476E+01,  2.98029023E-01,  4.69307512E-01,
  6.90000033E-02,  3.10967994E+01,  7.65180187E-01,  3.10967994E-01,  4.54212193E-01,  9.67010931E+00,  1.83643245E+01,  2.37946548E+01,  1.41245455E+01,  2.92750359E-01,  4.83505466E-01,
  7.00000033E-02,  3.15451365E+01,  7.57858235E-01,  3.15451365E-01,  4.42406871E-01,  9.95095634E+00,  1.81885976E+01,  2.39067414E+01,  1.39557851E+01,  2.87174552E-01,  4.97547817E-01,
  7.10000034E-02,  3.19815056E+01,  7.50093903E-01,  3.19815056E-01,  4.30278847E-01,  1.02281670E+01,  1.80022537E+01,  2.39891324E+01,  1.37609654E+01,  2.81320432E-01,  5.11408350E-01,
