        2-nd order single ODE 
     Method: Runge-Kutta 4th order
    t       x(t)        v(t)        energy
   2.78000   4.46092  -4.72760  21.12500
   2.79000   4.41342  -4.77197  21.12500
   2.80000   4.36549  -4.81586  21.12500
   2.81000   4.31711  -4.85928  21.12500
   2.82000   4.26830  -4.90220  21.12500
   2.83000   4.21907  -4.94464  21.12500
   2.84000   4.16941  -4.98658  21.12500
   2.85000   4.11934  -5.02803  21.12500
   2.86000   4.06885  -5.06897  21.12500
   2.87000   4.01796  -5.10940  21.12500
   2.88000   3.96666  -5.14933  21.12500
   2.89000   3.91497  -5.18874  21.12500
   2.90000   3.86289  -5.22763  21.12500
   2.91000   3.81042  -5.26599  21.12500
   2.92000   3.75757  -5.30383  21.12500
   2.93000   3.70435  -5.34114  21.12500
   2.94000   3.65075  -5.37792  21.12500
   2.95000   3.59679  -5.41416  21.12500
   2.96000   3.54247  -5.44985  21.12500
   2.97000   3.48780  -5.48500  21.12500
   2.98000   3.43277  -5.51961  21.12500
   2.99000   3.37741  -5.55366  21.12500
   3.00000   3.32170  -5.58715  21.12500
   3.01000   3.26566  -5.62009  21.12500
   3.02000   3.20930  -5.65247  21.12500
   3.03000   3.15262  -5.68428  21.12500
   3.04000   3.09562  -5.71552  21.12500
   3.05000   3.03831  -5.74619  21.12500
   3.06000   2.98070  -5.77628  21.12500
   3.07000   2.92279  -5.80580  21.12500
   3.08000   2.86458  -5.83474  21.12500
   3.09000   2.80609  -5.86309  21.12500
   3.10000   2.74732  -5.89086  21.12500
   3.11000   2.68828  -5.91804  21.12500
   3.12000   2.62896  -5.94462  21.12500
   3.13000   2.56939  -5.97062  21.12500
   3.14000   2.50955  -5.99601  21.12500
   3.15000   2.44947  -6.02081  21.12500
   3.16000   2.38914  -6.04500  21.12500
   3.17000   2.32857  -6.06859  21.12500
   3.18000   2.26777  -6.09157  21.12500
   3.19000   2.20674  -6.11394  21.12500
   3.20000   2.14549  -6.13570  21.12500
   3.21000   2.08403  -6.15685  21.12500
   3.22000   2.02236  -6.17738  21.12500
   3.23000   1.96048  -6.19730  21.12500
   3.24000   1.89841  -6.21659  21.12500
   3.25000   1.83615  -6.23527  21.12500
   3.26000   1.77371  -6.25332  21.12500
   3.27000   1.71109  -6.27074  21.12500
   3.28000   1.64830  -6.28754  21.12500
   3.29000   1.58534  -6.30370  21.12500
   3.30000   1.52223  -6.31924  21.12500
   3.31000   1.45896  -6.33415  21.12500
   3.32000   1.39554  -6.34842  21.12500
   3.33000   1.33199  -6.36206  21.12500
   3.34000   1.26831  -6.37506  21.12500
   3.35000   1.20449  -6.38742  21.12500
   3.36000   1.14056  -6.39915  21.12500
   3.37000   1.07651  -6.41024  21.12500
   3.38000   1.01236  -6.42068  21.12500
   3.39000   0.94810  -6.43048  21.12500
   3.40000   0.88375  -6.43964  21.12500
   3.41000   0.81931  -6.44816  21.12500
   3.42000   0.75479  -6.45603  21.12500
   3.43000   0.69019  -6.46325  21.12500
   3.44000   0.62553  -6.46983  21.12500
   3.45000   0.56080  -6.47576  21.12500
   3.46000   0.49601  -6.48105  21.12500
   3.47000   0.43118  -6.48568  21.12500
   3.48000   0.36630  -6.48967  21.12500
   3.49000   0.30139  -6.49301  21.12500
   3.50000   0.23644  -6.49570  21.12500
   3.51000   0.17148  -6.49774  21.12500
   3.52000   0.10649  -6.49913  21.12500
   3.53000   0.04149  -6.49987  21.12500
   3.54000  -0.02350  -6.49996  21.12500
   3.55000  -0.08850  -6.49940  21.12500
   3.56000  -0.15349  -6.49819  21.12500
   3.57000  -0.21846  -6.49633  21.12500
   3.58000  -0.28342  -6.49382  21.12500
   3.59000  -0.34834  -6.49066  21.12500
   3.60000  -0.41323  -6.48685  21.12500
   3.61000  -0.47807  -6.48240  21.12500
   3.62000  -0.54287  -6.47729  21.12500
   3.63000  -0.60762  -6.47154  21.12500
   3.64000  -0.67230  -6.46514  21.12500
   3.65000  -0.73692  -6.45809  21.12500
   3.66000  -0.80146  -6.45040  21.12500
   3.67000  -0.86592  -6.44206  21.12500
   3.68000  -0.93030  -6.43308  21.12500
   3.69000  -0.99458  -6.42346  21.12500
   3.70000  -1.05877  -6.41319  21.12500
   3.71000  -1.12284  -6.40228  21.12500
   3.72000  -1.18681  -6.39073  21.12500
   3.73000  -1.25066  -6.37855  21.12500
   3.74000  -1.31438  -6.36572  21.12500
   3.75000  -1.37797  -6.35226  21.12500
   3.76000  -1.44142  -6.33816  21.12500
   3.77000  -1.50473  -6.32343  21.12500
   3.78000  -1.56789  -6.30807  21.12500
   3.79000  -1.63089  -6.29207  21.12500
   3.80000  -1.69373  -6.27545  21.12500
   3.81000  -1.75640  -6.25820  21.12500
